symbol,group,combo,dip_pct,dip_minutes,stable_range_pct,stable_minutes,take_profit_pct,stop_loss_pct,timeout_minutes,candidates,trades,wins,losses,timeouts,both_hit,win_rate_pct,resolved_win_rate_pct,breakeven_win_rate_pct,edge_vs_be_pp,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
SOLUSDT,large_alt,sol_4pct_6h,4.0,360,1.0,45,3.0,2.0,1440,36,11,3,3,5,0,27.272727272727273,50.0,44.0,6.0,32.09346754272955,22.0,939.6363636363636,18.725261660866174,-16.051620484493498,-22.0,27.999999999999996
SOLUSDT,large_alt,sol_4pct_12h,4.0,720,1.2,60,3.5,2.0,1440,62,15,2,8,5,0,13.333333333333334,20.0,39.99999999999999,-19.999999999999993,-68.42183904454936,30.0,846.2,18.686576169406973,-20.0601440067768,-22.0,33.0
SOLUSDT,large_alt,sol_5pct_6h,5.0,360,1.5,30,4.0,2.0,1440,20,7,2,1,4,0,28.571428571428573,66.66666666666667,36.666666666666664,30.000000000000007,84.91374817292747,14.0,1113.0,22.650249376401042,-14.168749354538868,-22.0,38.0
SOLUSDT,large_alt,sol_5pct_8h,5.0,480,1.2,45,4.0,2.0,1440,23,8,1,2,5,0,12.5,33.333333333333336,36.666666666666664,-3.3333333333333286,28.473803452050205,16.0,1032.5,16.129963984285517,-17.392005489792457,-22.0,38.0
SOLUSDT,large_alt,sol_5pct_12h,5.0,720,1.5,60,4.0,2.5,1440,32,10,1,4,5,0,10.0,20.0,41.53846153846154,-21.53846153846154,-21.60726666226703,20.0,971.3,14.39878888962216,-27.000000000000004,-27.000000000000004,38.0
SOLUSDT,large_alt,sol_6pct_12h,6.0,720,1.5,60,4.0,2.5,1440,12,4,1,2,1,0,25.0,33.333333333333336,41.53846153846154,-8.205128205128204,-7.931573802541605,8.0,694.5,23.0342130987292,-27.000000000000004,-27.000000000000004,38.0
SOLUSDT,large_alt,sol_6pct_24h,6.0,1440,2.0,90,5.0,2.5,1440,36,10,0,6,4,0,0.0,0.0,36.0,-36.0,-119.62924803882711,20.0,832.6,10.592687990293227,-27.000000000000004,-27.000000000000004,15.833044148833686
SOLUSDT,large_alt,sol_7pct_12h,7.0,720,1.5,60,5.0,2.5,1440,10,2,0,1,1,0,0.0,0.0,36.0,-36.0,-17.6841254445522,4.0,785.0,9.315874555447802,-27.000000000000004,-27.000000000000004,9.315874555447802
SOLUSDT,large_alt,sol_7pct_24h,7.0,1440,2.0,120,5.0,3.0,1440,17,4,0,0,4,0,0.0,,40.0,,65.30772147841591,8.0,1440.0,16.32693036960398,0.0,10.237762237762295,26.697798806829987
SOLUSDT,large_alt,sol_8pct_24h,8.0,1440,2.0,90,5.0,3.0,1440,14,2,0,0,2,0,0.0,,40.0,,15.042529892094207,4.0,1440.0,7.521264946047103,0.0,7.1244617592782795,7.918068132815927
ETHUSDT,major,sol_4pct_6h,4.0,360,1.0,45,3.0,2.0,1440,25,7,0,3,4,0,0.0,0.0,44.0,-44.0,-55.904530737436666,14.0,1175.4285714285713,6.716944770086553,-19.01384126192408,-22.0,17.08082695933544
ETHUSDT,major,sol_4pct_12h,4.0,720,1.2,60,3.5,2.0,1440,48,10,0,5,5,0,0.0,0.0,39.99999999999999,-39.99999999999999,-88.50768238643026,20.0,973.3,9.911347008130383,-16.891674772974486,-22.0,16.780733699565786
ETHUSDT,major,sol_5pct_6h,5.0,360,1.5,30,4.0,2.0,1440,6,3,0,1,2,0,0.0,0.0,36.666666666666664,-36.666666666666664,-15.250952150856236,6.0,1334.6666666666667,16.92552144054771,-16.088236795701974,-22.0,16.92552144054771
ETHUSDT,major,sol_5pct_8h,5.0,480,1.2,45,4.0,2.0,1440,10,3,0,1,2,0,0.0,0.0,36.666666666666664,-36.666666666666664,-11.798633493906177,6.0,1413.6666666666667,16.62324533082171,-14.210939412363944,-22.0,16.62324533082171
