role,entry_ms,exit_ms,outcome,pnl_usd,hold_minutes,both_hit
win_example,1789045140000,1789045260000,win,3.0,2,False
win_example,1789046040000,1789047420000,win,3.0,23,False
win_example,1789047480000,1789048800000,win,3.0,22,False
win_example,1789049280000,1789050240000,win,3.0,16,False
win_example,1789057140000,1789058760000,win,3.0,27,False
win_example,1789058820000,1789061520000,win,3.0,45,False
win_example,1789063860000,1789066440000,win,3.0,43,False
win_example,1789082160000,1789085400000,win,3.0,54,False
win_example,1789085940000,1789088580000,win,3.0,44,False
win_example,1789090440000,1789091700000,win,3.0,21,False
loss_example,1789042080000,1789043400000,loss,-5.5,22,True
loss_example,1789043460000,1789043640000,loss,-5.5,3,False
loss_example,1789043700000,1789043880000,loss,-5.5,3,False
loss_example,1789043940000,1789044360000,loss,-5.5,7,False
loss_example,1789044420000,1789044960000,loss,-5.5,9,False
loss_example,1789045020000,1789045080000,loss,-5.5,1,False
loss_example,1789045320000,1789045980000,loss,-5.5,11,False
loss_example,1789048860000,1789049220000,loss,-5.5,6,False
loss_example,1789050300000,1789052520000,loss,-5.5,37,False
loss_example,1789052580000,1789055220000,loss,-5.5,44,False
