role,entry_ms,exit_ms,outcome,pnl_usd,hold_minutes,both_hit
win_example,1789045140000,1789048020000,win,6.0,48,False
win_example,1789049820000,1789050240000,win,6.0,7,False
win_example,1789058160000,1789061040000,win,6.0,48,False
win_example,1789086720000,1789088580000,win,6.0,31,False
win_example,1789124820000,1789127100000,win,6.0,38,False
win_example,1789129500000,1789129740000,win,6.0,4,False
win_example,1789129920000,1789130040000,win,6.0,2,False
win_example,1789130100000,1789130220000,win,6.0,2,False
win_example,1789130520000,1789131120000,win,6.0,10,False
win_example,1789133820000,1789134180000,win,6.0,6,False
loss_example,1789042080000,1789043400000,loss,-3.5,22,False
loss_example,1789043460000,1789043520000,loss,-3.5,1,False
loss_example,1789043580000,1789043640000,loss,-3.5,1,False
loss_example,1789043700000,1789043760000,loss,-3.5,1,False
loss_example,1789043820000,1789043880000,loss,-3.5,1,False
loss_example,1789043940000,1789044360000,loss,-3.5,7,False
loss_example,1789044420000,1789044780000,loss,-3.5,6,False
loss_example,1789044840000,1789045080000,loss,-3.5,4,False
loss_example,1789048080000,1789048260000,loss,-3.5,3,False
loss_example,1789048320000,1789049220000,loss,-3.5,15,False
