role,entry_ms,exit_ms,outcome,pnl_usd,hold_minutes,both_hit
win_example,1789049880000,1789050240000,win,4.0,6,False
win_example,1789060740000,1789061220000,win,1.0,8,False
win_example,1789061280000,1789061520000,win,1.0,4,False
win_example,1789063800000,1789066260000,win,2.0,41,False
win_example,1789090380000,1789091700000,win,5.1,22,False
win_example,1789096020000,1789096380000,win,1.0,6,False
win_example,1789108440000,1789110300000,win,1.0,31,False
win_example,1789114200000,1789115040000,win,1.0,14,False
win_example,1789115100000,1789115520000,win,1.0,7,False
win_example,1789119660000,1789120260000,win,1.0,10,False
loss_example,1789042080000,1789043400000,loss,-4.45,22,True
loss_example,1789043460000,1789043520000,loss,-3.8,1,False
loss_example,1789043580000,1789043640000,loss,-4.0,1,False
loss_example,1789043700000,1789043760000,loss,-4.0,1,False
loss_example,1789043820000,1789043880000,loss,-5.45,1,False
loss_example,1789043940000,1789044360000,loss,-7.45,7,False
loss_example,1789048080000,1789049820000,loss,-5.0,29,False
loss_example,1789050300000,1789052520000,loss,-5.5,37,False
loss_example,1789052580000,1789055100000,loss,-5.0,42,False
loss_example,1789055160000,1789057020000,loss,-6.0,31,False
