symbol,combo,dip_pct,dip_minutes,stable_range_pct,stable_minutes,take_profit_pct,stop_loss_pct,timeout_minutes,candidates,trades,wins,losses,timeouts,both_hit,win_rate_pct,resolved_win_rate_pct,breakeven_win_rate_pct,edge_vs_be_pp,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
INTC,d4_w30,4.0,1560,1.5,30,5.0,4.0,2880,386,40,13,18,9,0,32.5,41.935483870967744,51.11111111111111,-9.175627240143363,-236.56678914084392,240.0,370.25,32.99218502779538,-41.115157365188395,-46.0,44.00000000000001
INTC,d4_w60,4.0,1560,1.5,60,5.0,4.0,2880,200,36,9,17,10,0,25.0,34.61538461538461,51.11111111111111,-16.495726495726494,-382.19977444411086,216.0,385.4166666666667,38.18051407110408,-38.19767205949843,-46.0,44.00000000000001
INTC,d4_w120,4.0,1560,1.5,120,5.0,4.0,2880,102,35,9,17,9,0,25.714285714285715,34.61538461538461,51.11111111111111,-16.495726495726494,-427.3776189198438,210.0,341.57142857142856,36.710728345277715,-41.118958518566096,-46.0,44.00000000000001
INTC,d4_w180,4.0,1560,1.5,180,5.0,4.0,2880,66,35,10,20,5,0,28.571428571428573,33.333333333333336,51.11111111111111,-17.77777777777777,-465.2806486543928,210.0,293.85714285714283,36.306234112914176,-42.602804187376236,-46.0,44.00000000000001
INTC,d4_w240,4.0,1560,1.5,240,5.0,4.0,2880,44,31,8,16,7,0,25.806451612903224,33.333333333333336,51.11111111111111,-17.77777777777777,-390.3087515083981,186.0,253.8709677419355,36.28416377074953,-39.471727649332145,-46.0,44.00000000000001
INTC,d4_w300,4.0,1560,1.5,300,5.0,4.0,2880,35,25,7,14,4,0,28.0,33.333333333333336,51.11111111111111,-17.77777777777777,-343.6486562801393,150.0,280.2,38.624523579926,-43.204335531217076,-46.0,44.00000000000001
INTC,d5_w30,5.0,1560,1.5,30,5.0,4.0,2880,341,37,12,18,7,0,32.432432432432435,40.0,51.11111111111111,-11.111111111111107,-293.82116581544665,222.0,375.4054054054054,35.46875679712429,-41.01529878902073,-46.0,44.00000000000001
INTC,d5_w60,5.0,1560,1.5,60,5.0,4.0,2880,179,33,8,16,9,0,24.242424242424242,33.333333333333336,51.11111111111111,-17.77777777777777,-387.3465117608752,198.0,382.72727272727275,40.04650576779834,-37.62991250939349,-46.0,44.00000000000001
INTC,d5_w120,5.0,1560,1.5,120,5.0,4.0,2880,89,31,8,17,6,0,25.806451612903224,32.0,51.11111111111111,-19.111111111111107,-423.3042590318444,186.0,341.2903225806452,40.101655395171,-43.22112341893627,-46.0,44.00000000000001
INTC,d5_w180,5.0,1560,1.5,180,5.0,4.0,2880,56,30,10,17,3,0,33.333333333333336,37.03703703703704,51.11111111111111,-14.074074074074069,-314.9450804340252,180.0,290.5,40.0443395592518,-44.193175285835935,-46.0,44.00000000000001
INTC,d5_w240,5.0,1560,1.5,240,5.0,4.0,2880,38,26,7,14,5,0,26.923076923076923,33.333333333333336,51.11111111111111,-17.77777777777777,-289.9253426408976,156.0,264.4230769230769,39.34192844017019,-42.70903919016247,-46.0,44.00000000000001
INTC,d5_w300,5.0,1560,1.5,300,5.0,4.0,2880,31,23,7,12,4,0,30.434782608695652,36.8421052631579,51.11111111111111,-14.26900584795321,-221.20521438684776,138.0,279.1304347826087,42.007128234736165,-42.80495489281952,-46.0,44.00000000000001
MU,d4_w30,4.0,1560,1.5,30,5.0,4.0,2880,385,41,15,17,9,0,36.58536585365854,46.875,51.11111111111111,-4.236111111111107,-77.61666915191886,246.0,358.0487804878049,34.00345840754206,-39.5844647855151,-46.0,44.00000000000001
MU,d4_w60,4.0,1560,1.5,60,5.0,4.0,2880,204,41,13,21,7,0,31.70731707317073,38.23529411764706,51.11111111111111,-12.87581699346405,-326.0450348553134,246.0,328.780487804878,36.14178697101315,-42.460747840589136,-46.0,44.00000000000001
MU,d4_w120,4.0,1560,1.5,120,5.0,4.0,2880,100,34,10,15,9,0,29.41176470588235,40.0,51.11111111111111,-11.111111111111107,-233.25191261212385,204.00000000000003,357.3529411764706,35.114020769017515,-39.998011797230866,-46.0,44.00000000000001
MU,d4_w180,4.0,1560,1.5,180,5.0,4.0,2880,69,31,9,15,7,0,29.032258064516128,37.5,51.11111111111111,-13.611111111111107,-278.63560869738376,186.0,339.19354838709677,32.29146383023546,-42.9833001365106,-46.0,44.00000000000001
MU,d4_w240,4.0,1560,1.5,240,5.0,4.0,2880,45,30,8,15,7,0,26.666666666666668,34.78260869565217,51.11111111111111,-16.328502415458935,-244.55036280173863,180.0,261.0,33.50618349993555,-44.60230823755227,-46.0,44.00000000000001
MU,d4_w300,4.0,1560,1.5,300,5.0,4.0,2880,40,28,6,15,7,0,21.428571428571427,28.571428571428573,51.11111111111111,-22.539682539682534,-381.3374668442157,168.0,278.0357142857143,33.5890535253127,-39.846000116519036,-46.0,44.00000000000001
MU,d5_w30,5.0,1560,1.5,30,5.0,4.0,2880,359,37,14,15,8,0,37.83783783783784,48.275862068965516,51.11111111111111,-2.835249042145591,-28.973857931162485,222.0,350.4054054054054,33.503631327919166,-41.120381440561516,-46.0,44.00000000000001
MU,d5_w60,5.0,1560,1.5,60,5.0,4.0,2880,190,38,12,19,7,0,31.57894736842105,38.70967741935484,51.11111111111111,-12.401433691756267,-278.0450348553134,228.0,327.63157894736844,35.67953914577863,-42.123676206359534,-46.0,44.00000000000001
MU,d5_w120,5.0,1560,1.5,120,5.0,4.0,2880,92,31,9,14,8,0,29.032258064516128,39.130434782608695,51.11111111111111,-11.980676328502412,-228.5261110872714,186.0,355.0,34.14076253919194,-41.55863450799756,-46.0,44.00000000000001
MU,d5_w180,5.0,1560,1.5,180,5.0,4.0,2880,64,28,8,14,6,0,28.571428571428573,36.36363636363637,51.11111111111111,-14.74747474747474,-269.7203205808438,168.0,331.07142857142856,33.8858467132306,-42.27190507122569,-46.0,44.00000000000001
MU,d5_w240,5.0,1560,1.5,240,5.0,4.0,2880,43,27,7,13,7,0,25.925925925925927,35.0,51.11111111111111,-16.111111111111107,-191.55841190402398,162.0,283.7037037037037,32.69896684608444,-44.04607006450869,-46.0,44.00000000000001
MU,d5_w300,5.0,1560,1.5,300,5.0,4.0,2880,38,26,6,14,6,0,23.076923076923077,30.0,51.11111111111111,-21.111111111111107,-327.99821762115283,156.0,263.65384615384613,33.5890535253127,-41.49304705464249,-46.0,44.00000000000001
MRVL,d4_w30,4.0,1560,1.5,30,5.0,4.0,2880,374,51,20,25,6,0,39.21568627450981,44.44444444444444,51.11111111111111,-6.666666666666664,-192.2027885781617,306.0,291.47058823529414,40.41998325556374,-43.04749580413672,-46.0,44.00000000000001
MRVL,d4_w60,4.0,1560,1.5,60,5.0,4.0,2880,188,44,16,20,8,0,36.36363636363637,44.44444444444444,51.11111111111111,-6.666666666666664,-118.71899293639318,264.0,331.3636363636364,37.662591043764124,-43.05890890450927,-46.0,44.00000000000001
MRVL,d4_w120,4.0,1560,1.5,120,5.0,4.0,2880,96,38,17,15,6,0,44.73684210526316,53.125,51.11111111111111,2.013888888888893,73.47352722250865,228.0,298.55263157894734,40.91434329674896,-41.37851881735948,-46.0,44.00000000000001
MRVL,d4_w180,4.0,1560,1.5,180,5.0,4.0,2880,62,35,18,12,5,0,51.42857142857143,60.0,51.11111111111111,8.888888888888893,238.44524253386763,210.0,266.0,40.88066142699204,-38.61119906706488,-46.0,44.00000000000001
MRVL,d4_w240,4.0,1560,1.5,240,5.0,4.0,2880,44,34,12,14,8,0,35.294117647058826,46.15384615384615,51.11111111111111,-4.957264957264954,-111.92190594329176,204.00000000000003,232.05882352941177,39.20697951143288,-36.84350519025183,-46.0,44.00000000000001
MRVL,d4_w300,4.0,1560,1.5,300,5.0,4.0,2880,37,27,10,10,7,0,37.03703703703704,50.0,51.11111111111111,-1.1111111111111072,21.872410574306794,162.0,284.25925925925924,33.64795157191802,-40.2372385837053,-46.0,44.00000000000001
MRVL,d5_w30,5.0,1560,1.5,30,5.0,4.0,2880,319,43,19,20,4,0,44.18604651162791,48.717948717948715,51.11111111111111,-2.3931623931623918,-11.4688195892425,258.0,308.95348837209303,41.31079265808009,-43.824107527000216,-46.0,44.00000000000001
