mode,max_positions,combo,candidates,skipped_busy,skipped_cash,trades,wins,losses,timeouts,start_equity,end_equity,net_usd,return_pct,max_equity,min_equity,worst_trade_ret_pct,best_trade_ret_pct
3slot,3,d5_w30,1809,1652,0,157,56,62,39,1500.0,1423.871056868583,-76.12894313141692,-5.0752628754278,1528.7794739383169,399.83925993620994,-4.6,15.391126914032238
3slot,3,d4_w60,2005,1847,0,158,51,63,44,1500.0,1317.500113123819,-182.4998868761811,-12.166659125078738,1530.2516846480803,385.2425923121702,-4.6,9.483880035239078
3slot,3,d4_w180,1734,1582,0,152,52,61,39,1500.0,1276.6155939314947,-223.3844060685053,-14.892293737900353,1542.0287169063868,378.36788670488187,-4.6,8.340169485315819
3slot,3,d4_w300,1686,1533,0,153,51,61,41,1500.0,1256.3699307312859,-243.63006926871412,-16.242004617914276,1520.523437545111,355.6152307885333,-4.6,9.386673493195484
3slot,3,d4_w240,1727,1573,0,154,52,61,41,1500.0,1254.6059066149958,-245.39409338500423,-16.359606225666944,1520.523437545111,389.9794908396933,-4.6,9.386673493195484
3slot,3,d5_w240,1543,1393,0,150,52,62,36,1500.0,1239.7723464455037,-260.2276535544963,-17.34851023696642,1520.523437545111,376.6166817186855,-4.6,9.386673493195484
3slot,3,d4_w30,2032,1880,0,152,45,59,48,1500.0,1236.7731028817439,-263.22689711825615,-17.54845980788374,1520.523437545111,371.5918117310746,-4.6,9.500726422256832
3slot,3,d4_w120,1841,1692,0,149,48,59,42,1500.0,1230.8987546618823,-269.1012453381177,-17.940083022541174,1520.523437545111,357.52342499271157,-4.6,8.340169485315819
3slot,3,d5_w120,1615,1467,0,148,50,63,35,1500.0,1164.3186085943462,-335.6813914056538,-22.378759427043594,1520.523437545111,355.898564466911,-4.6,8.340169485315819
3slot,3,d5_w60,1787,1633,0,154,50,66,38,1500.0,1158.6634420262099,-341.33655797379015,-22.755770531586005,1520.523437545111,352.21725117485335,-4.6,9.483880035239078
3slot,3,d5_w300,1504,1351,0,153,52,67,34,1500.0,1136.5482272874665,-363.4517727125335,-24.230118180835568,1520.523437545111,350.85688322823665,-4.6,9.386673493195484
3slot,3,d5_w180,1564,1414,0,150,48,66,36,1500.0,1120.8138113518755,-379.18618864812447,-25.2790792432083,1520.523437545111,355.9635767933943,-4.6,8.340169485315819
