mode,max_positions,combo,candidates,skipped_busy,skipped_cash,trades,wins,losses,timeouts,start_equity,end_equity,net_usd,return_pct,max_equity,min_equity,worst_trade_ret_pct,best_trade_ret_pct
3slot,3,d5_w120,987,864,0,123,38,40,45,1500.0,1295.7533029976091,-204.24669700239087,-13.61644646682606,1477.9697733225148,397.7315208686453,-4.6,4.4
3slot,3,d4_w300,447,332,0,115,31,35,49,1500.0,1264.3740567773361,-235.62594322266386,-15.708396214844257,1568.6005137566183,404.1837198974151,-4.6,4.4
3slot,3,d4_w120,1143,1013,0,130,40,49,41,1500.0,1245.9689240513333,-254.03107594866674,-16.935405063244446,1477.9697733225146,382.7704518816227,-4.6,4.4
3slot,3,d5_w240,464,349,0,115,32,41,42,1500.0,1236.1916345207164,-263.80836547928357,-17.58722436528557,1563.400050823188,381.53645938493304,-4.6,4.4
3slot,3,d4_w30,4262,4127,0,135,38,46,51,1500.0,1206.671477134798,-293.3285228652021,-19.555234857680137,1492.5290642921561,381.17069503969844,-4.6,4.4
3slot,3,d4_w240,534,416,0,118,29,40,49,1500.0,1184.3924507652505,-315.6075492347495,-21.040503282316635,1563.400050823188,362.9585087121672,-4.6,4.4
3slot,3,d5_w300,390,279,0,111,32,40,39,1500.0,1182.1376327876192,-317.86236721238083,-21.190824480825388,1545.2819280704073,388.5457138629016,-4.6,4.4
3slot,3,d5_w60,1930,1793,0,137,41,48,48,1500.0,1175.6337519764218,-324.36624802357824,-21.62441653490521,1528.184953739413,361.8127003092007,-4.6,4.4
3slot,3,d4_w180,773,649,0,124,33,44,47,1500.0,1154.040289363983,-345.959710636017,-23.0639807090678,1479.2252137261257,346.09057290656733,-4.6,4.4
3slot,3,d5_w180,664,542,0,122,33,45,44,1500.0,1145.3647149856815,-354.63528501431847,-23.642352334287896,1479.2252137261257,327.6583772878124,-4.6,4.4
3slot,3,d5_w30,3643,3503,0,140,43,55,42,1500.0,1134.158186776311,-365.8418132236891,-24.38945421491261,1492.5290642921561,366.0392787846101,-4.6,4.4
3slot,3,d4_w60,2236,2096,0,140,43,53,44,1500.0,1126.6350370427797,-373.3649629572203,-24.89099753048135,1504.5880213726596,347.4865265755105,-4.6,4.4
