combo,symbol,entry_time,exit_time,outcome,ret,pnl,notional,cash_before,open_count_at_entry,equity_before,equity_after,hold_minutes
d5_w30,QCOM,1782914100000,1783003200000,loss,-0.046,-23.0,500.0,1000.0,1,1500.0,1477.0,435
d5_w30,HPE,1782914400000,1783004400000,loss,-0.046,-23.0,500.0,500.0,2,1500.0,1454.0,450
d4_w30,ORCL,1782914100000,1783011900000,loss,-0.046,-23.0,500.0,1500.0,0,1500.0,1431.0,580
d5_w30,HPE,1783004100000,1783014900000,loss,-0.046,-21.942,477.0,477.0,2,1477.0,1409.058,180
d5_w60,DELL,1783012200000,1783344600000,timeout,0.030657235501744935,14.623501334332333,477.0,477.0,2,1431.0,491.62350133433233,170
d5_w30,MU,1783005000000,1783344600000,timeout,0.01206443708754868,5.75473649076072,477.0,477.0,2,1454.0,974.378237825093,290
d5_w30,MU,1783015500000,1783344600000,timeout,0.030953817445764427,14.085782259234668,455.058,455.058,2,1409.058,1443.5220200843278,115
d5_w300,INTC,1783344600000,1783431000000,loss,-0.046,-22.134004307959692,481.1740066947759,1443.5220200843278,0,1443.5220200843278,940.2140090815922,390
d5_w30,MU,1783346400000,1783431000000,loss,-0.046,-22.134004307959692,481.1740066947759,962.3480133895519,1,1443.5220200843278,1399.2540114684084,360
d4_w30,ORCL,1783431300000,1783434300000,loss,-0.046,-21.115840109793545,459.04000238681624,918.0800047736325,1,1399.2540114684084,1378.1381713586147,50
d4_w60,AVGO,1783434600000,1783518300000,win,0.044000000000000004,19.268663140189,437.9241622770227,437.9241622770227,2,1378.1381713586147,916.2328278040279,345
d4_w30,ORCL,1783346400000,1783519200000,timeout,-0.0127453158546662,-6.132714696380188,481.1740066947759,481.1740066947759,2,1443.5220200843278,1391.2741198024237,780
d5_w30,HPE,1783431900000,1783603800000,win,0.044000000000000004,20.197760105019917,459.04000238681624,459.04000238681624,2,1399.2540114684084,479.2377624918362,765
d5_w30,MU,1783519200000,1783603800000,win,0.044000000000000004,20.509150583143366,466.1170587078037,932.2341174156074,1,1391.2741198024237,965.8639717827832,360
d4_w30,ORCL,1783519200000,1783604700000,win,0.044000000000000004,20.509150583143366,466.1170587078037,466.1170587078037,2,1391.2741198024237,1452.4901810737301,375
d5_w120,ARM,1783611300000,1783690200000,loss,-0.046,-22.271516109797194,484.16339369124336,1452.4901810737301,0,1452.4901810737301,946.0552712726897,265
d5_w180,MRVL,1783614600000,1783690500000,loss,-0.046,-22.271516109797197,484.1633936912434,968.3267873824868,1,1452.4901810737301,1407.9471488541358,215
d4_w240,IBM,1783618500000,1783949400000,timeout,-0.009033037898829805,-4.373466284439057,484.1633936912434,484.1633936912434,2,1452.4901810737301,479.78992740680434,535
d5_w30,MU,1783692000000,1783949400000,loss,-0.046,-21.247026368746525,461.89187758144624,923.7837551628925,1,1407.9471488541358,920.4347786195041,360
d4_w30,ORCL,1783692000000,1783949400000,timeout,-0.030532234341400948,-14.102591046706396,461.89187758144624,461.89187758144624,2,1407.9471488541358,1368.2240651542438,360
d5_w30,MU,1783951200000,1784035800000,win,0.044000000000000004,20.067286288928912,456.07468838474796,1368.2240651542438,0,1368.2240651542438,932.2166630584247,360
d4_w30,ORCL,1783951200000,1784035800000,loss,-0.046,-20.979435665698404,456.0746883847479,912.1493767694958,1,1368.2240651542438,1367.3119157774743,360
d5_w30,QCOM,1783951200000,1784057400000,loss,-0.046,-20.979435665698404,456.0746883847479,456.0746883847479,2,1368.2240651542438,1346.3324801117758,720
d5_w30,QCOM,1784036400000,1784125500000,loss,-0.046,-20.958456230032706,455.6186136963632,455.6186136963632,2,1367.3119157774743,1325.3740238817431,435
d5_w30,QCOM,1784057700000,1784208600000,loss,-0.046,-20.014381625076275,435.0952527190495,435.0952527190495,2,1346.3324801117758,415.0808710939732,415
d4_w60,AVGO,1784036400000,1784209200000,timeout,-0.02197255896737637,-10.011106856077616,455.6186136963632,911.2372273927264,1,1367.3119157774743,860.6883779342587,780
d4_w30,ORCL,1784125500000,1784209200000,loss,-0.046,-19.9943672434512,434.6601574663305,434.6601574663305,2,1325.3740238817431,1275.354168157138,345
d5_w30,HPE,1784210400000,1784224200000,loss,-0.046,-19.555430578409446,425.1180560523793,850.2361121047586,1,1275.354168157138,1255.7987375787284,230
d5_w60,DELL,1784210400000,1784295000000,loss,-0.046,-19.55543057840945,425.11805605237936,1275.354168157138,0,1275.354168157138,811.1252509479398,360
d5_w30,MU,1784210400000,1784295000000,loss,-0.046,-19.555430578409446,425.1180560523793,425.1180560523793,2,1275.3541681571378,1216.6878764219096,360
d5_w30,MU,1784225100000,1784295300000,loss,-0.046,-18.65588077180261,405.56262547396983,405.56262547396983,2,1255.7987375787284,1198.031995650107,120
d5_w30,MU,1784296500000,1784303700000,win,0.044000000000000004,17.43432614387502,396.2346850880686,396.2346850880686,2,1198.031995650107,1215.4663217939822,120
