mode,max_positions,combo,candidates,skipped_busy,skipped_cash,trades,wins,losses,timeouts,start_equity,end_equity,net_usd,return_pct,max_equity,min_equity,worst_trade_ret_pct,best_trade_ret_pct
allin,1,d5_w240,1543,1492,0,51,19,23,9,1000.0,888.0218500083813,-111.9781499916187,-11.19781499916187,962.7613861167081,648.7193334935369,-4.6,9.386673493195484
allin,1,d5_w300,1504,1451,0,53,19,25,9,1000.0,773.6389934406171,-226.36100655938287,-22.636100655938286,962.7613861167081,648.7193334935369,-4.6,9.386673493195484
allin,1,d4_w120,1841,1791,0,50,15,22,13,1000.0,760.404678547974,-239.59532145202604,-23.9595321452026,971.0597256765695,621.9680095155992,-4.6,7.583164493287442
allin,1,d4_w60,2005,1957,0,48,13,20,15,1000.0,752.8857487086058,-247.11425129139423,-24.71142512913942,954.7575475128705,635.8099849510912,-4.6,7.7880910363438804
allin,1,d5_w120,1615,1566,0,49,16,22,11,1000.0,710.5466807838551,-289.4533192161449,-28.945331921614493,962.7613861167081,634.5338536721937,-4.6,6.257621991845186
allin,1,d4_w240,1727,1678,0,49,14,24,11,1000.0,684.5193226342308,-315.4806773657692,-31.548067736576925,962.7613861167081,650.9775567260738,-4.6,9.386673493195484
allin,1,d5_w60,1787,1739,0,48,13,21,14,1000.0,683.6937387524349,-316.3062612475651,-31.63062612475651,954.7575475128705,626.4327230699241,-4.6,7.7880910363438804
allin,1,d4_w300,1686,1638,0,48,13,23,12,1000.0,683.4855716032745,-316.5144283967255,-31.65144283967255,962.7613861167081,648.4994637399182,-4.6,9.386673493195484
allin,1,d4_w30,2032,1978,0,54,15,24,15,1000.0,672.0156679350401,-327.98433206495986,-32.79843320649598,968.0348731025176,634.6587671105343,-4.6,7.6202279992618305
allin,1,d4_w180,1734,1685,0,49,14,22,13,1000.0,668.9372790746763,-331.0627209253237,-33.106272092532365,962.7613861167081,616.8991404127735,-4.6,7.473866741383639
allin,1,d5_w180,1564,1510,0,54,17,26,11,1000.0,663.8798213430465,-336.1201786569535,-33.61201786569536,954.2096434235123,601.2918967199928,-4.6,7.196107950572661
allin,1,d5_w30,1809,1755,0,54,15,24,15,1000.0,589.6221603092731,-410.3778396907269,-41.03778396907269,1011.6553479027392,534.0349498848581,-4.6,7.6202279992618305
