mode,max_positions,combo,candidates,skipped_busy,skipped_cash,trades,wins,losses,timeouts,start_equity,end_equity,net_usd,return_pct,max_equity,min_equity,worst_trade_ret_pct,best_trade_ret_pct
allin,1,d5_w120,987,945,0,42,14,14,14,1000.0,869.8694508152042,-130.13054918479577,-13.013054918479572,1009.3548774883819,782.4078896038823,-4.6,4.4
allin,1,d4_w180,773,736,0,37,11,13,13,1000.0,853.5506947442495,-146.44930525575046,-14.64493052557505,995.976,785.2657958375725,-4.6,4.4
allin,1,d4_w60,2236,2190,0,46,15,15,16,1000.0,832.6048900619953,-167.39510993800468,-16.739510993800465,995.976,739.6487057476143,-4.6,4.4
allin,1,d5_w30,3643,3598,0,45,14,17,14,1000.0,813.2324058771933,-186.7675941228067,-18.676759412280674,995.976,689.424277597126,-4.6,4.4
allin,1,d5_w60,1930,1883,0,47,15,16,16,1000.0,779.9147517100981,-220.08524828990187,-22.008524828990183,995.976,732.8982493876005,-4.6,4.4
allin,1,d5_w240,464,424,0,40,10,15,15,1000.0,770.4893106184675,-229.51068938153253,-22.951068938153252,961.3572845882842,750.7280603330705,-4.6,4.4
allin,1,d4_w300,447,406,0,41,11,14,16,1000.0,732.0239964031837,-267.9760035968163,-26.797600359681628,966.0726106326485,725.7946380711493,-4.6,4.4
allin,1,d4_w120,1143,1101,0,42,11,13,18,1000.0,728.6816251793545,-271.31837482064554,-27.131837482064558,1009.3548774883819,717.8196750217253,-4.6,4.4
allin,1,d4_w240,534,496,0,38,6,14,18,1000.0,694.0105140721333,-305.98948592786667,-30.59894859278667,999.6182893216054,644.3358780669504,-4.6,4.4
allin,1,d5_w300,390,349,0,41,11,16,14,1000.0,653.3865254142855,-346.61347458571447,-34.66134745857145,966.0726106326485,627.6252609603021,-4.6,4.4
allin,1,d4_w30,4262,4213,0,49,14,20,15,1000.0,647.2967644523669,-352.7032355476331,-35.27032355476331,995.976,604.4631156333506,-4.6,4.4
allin,1,d5_w180,664,617,0,47,11,19,17,1000.0,612.053233544435,-387.946766455565,-38.7946766455565,995.976,608.494706688223,-4.6,4.4
