symbol,combo,dip_pct,dip_minutes,stable_range_pct,stable_minutes,take_profit_pct,stop_loss_pct,timeout_minutes,candidates,trades,wins,losses,timeouts,both_hit,win_rate_pct,resolved_win_rate_pct,breakeven_win_rate_pct,edge_vs_be_pp,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
INTC,dip4_1d,4.0,390,1.2,30,5.0,3.0,780,206,36,9,24,3,0,25.0,27.272727272727273,44.99999999999999,-17.72727272727272,-426.67646778449523,216.0,340.97222222222223,36.443627684625405,-36.0,-36.0,44.00000000000001
INTC,dip5_1d,5.0,390,1.5,30,6.0,3.0,780,172,34,8,23,3,0,23.529411764705884,25.806451612903224,40.0,-14.193548387096776,-357.8051906065464,204.00000000000003,358.97058823529414,42.744982672132146,-36.0,-36.0,54.0
INTC,dip5_2d,5.0,780,1.5,45,6.0,3.5,1170,186,31,11,20,0,0,35.483870967741936,35.483870967741936,43.15789473684211,-7.674023769100174,-226.0,186.0,434.83870967741933,54.0,-41.0,-41.0,54.0
INTC,dip6_1d,6.0,390,1.5,30,6.0,3.0,780,120,27,6,19,2,0,22.22222222222222,24.0,40.0,-16.0,-350.07249906828804,162.0,325.9259259259259,41.740937616463995,-36.0,-36.0,54.0
INTC,dip6_2d,6.0,780,2.0,60,7.0,3.5,1170,125,28,9,19,0,0,32.142857142857146,32.142857142857146,39.04761904761905,-6.904761904761905,-203.0,168.0,447.5,64.0,-41.0,-41.0,64.0
INTC,dip7_2d,7.0,780,2.0,45,7.0,4.0,1170,132,25,9,15,1,0,36.0,37.5,41.81818181818181,-4.318181818181813,-53.22477984057616,150.0,503.6,63.67752201594239,-46.0,-46.0,64.0
INTC,dip8_2d,8.0,780,2.0,60,8.0,4.0,1170,84,20,7,12,1,0,35.0,36.8421052631579,38.33333333333333,-1.4912280701754312,18.40854852223498,120.0,522.25,71.30106856527937,-46.0,-46.0,74.0
INTC,dip8_3d,8.0,1170,2.5,90,8.0,4.0,1560,84,22,7,15,0,0,31.818181818181817,31.818181818181817,38.33333333333333,-6.515151515151512,-172.0,132.0,488.8636363636364,74.0,-46.0,-46.0,74.0
INTC,dip4_2d,4.0,780,1.2,45,5.0,3.0,1170,215,39,13,25,1,0,33.333333333333336,34.21052631578947,44.99999999999999,-10.78947368421052,-315.86244334002515,234.0,346.79487179487177,41.72411118999821,-36.0,-36.0,44.00000000000001
INTC,dip10_3d,10.0,1170,2.5,60,10.0,5.0,1950,96,16,4,11,1,0,25.0,26.666666666666668,37.333333333333336,-10.666666666666668,-204.08735669710552,96.0,690.625,82.3825286605789,-56.0,-56.0,94.0
MU,dip4_1d,4.0,390,1.2,30,5.0,3.0,780,203,34,9,21,4,0,26.470588235294116,30.0,44.99999999999999,-14.999999999999993,-308.81653143522624,204.00000000000003,364.11764705882354,37.97803313881666,-34.752405868228465,-36.0,44.00000000000001
MU,dip5_1d,5.0,390,1.5,30,6.0,3.0,780,183,32,6,22,4,0,18.75,21.428571428571427,40.0,-18.571428571428573,-412.2723091856,192.0,340.46875,43.14229110171401,-34.806649091348966,-36.0,54.0
MU,dip5_2d,5.0,780,1.5,45,6.0,3.5,1170,182,30,13,17,0,0,43.333333333333336,43.333333333333336,43.15789473684211,0.17543859649122595,5.0,180.0,426.5,54.0,-41.0,-41.0,54.0
MU,dip6_1d,6.0,390,1.5,30,6.0,3.0,780,151,29,5,20,4,0,17.24137931034483,20.0,40.0,-20.0,-389.48290229400135,174.00000000000003,352.0689655172414,41.63699532781002,-34.40851737697531,-36.0,54.0
MU,dip6_2d,6.0,780,2.0,60,7.0,3.5,1170,125,28,8,19,1,0,28.571428571428573,29.62962962962963,39.04761904761905,-9.417989417989421,-242.638441922962,168.0,496.42857142857144,59.59572867522645,-41.0,-41.0,64.0
MU,dip7_2d,7.0,780,2.0,45,7.0,4.0,1170,137,23,8,15,0,0,34.78260869565217,34.78260869565217,41.81818181818181,-7.035573122529641,-178.0,138.0,472.60869565217394,64.0,-46.0,-46.0,64.0
MU,dip8_2d,8.0,780,2.0,60,8.0,4.0,1170,91,20,5,11,4,0,25.0,31.25,38.33333333333333,-7.083333333333329,25.780575218268403,120.0,529.75,59.0867305798076,-46.0,-46.0,74.0
MU,dip8_3d,8.0,1170,2.5,90,8.0,4.0,1560,74,20,6,13,1,0,30.0,31.57894736842105,38.33333333333333,-6.754385964912277,-114.67440008869997,120.0,567.5,69.04651427304286,-46.0,-46.0,74.0
MU,dip4_2d,4.0,780,1.2,45,5.0,3.0,1170,206,37,16,21,0,0,43.24324324324324,43.24324324324324,44.99999999999999,-1.7567567567567508,-51.99999999999999,222.0,378.5135135135135,44.00000000000001,-36.0,-36.0,44.00000000000001
MU,dip10_3d,10.0,1170,2.5,60,10.0,5.0,1950,90,17,6,10,1,0,35.294117647058826,37.5,37.333333333333336,0.1666666666666643,45.388553289264614,102.00000000000001,658.5294117647059,86.48407904132351,-56.0,-56.0,94.0
MRVL,dip4_1d,4.0,390,1.2,30,5.0,3.0,780,240,50,17,31,2,0,34.0,35.416666666666664,44.99999999999999,-9.583333333333329,-325.1792828258709,300.0,246.2,41.622143009164695,-36.0,-36.0,44.00000000000001
MRVL,dip5_1d,5.0,390,1.5,30,6.0,3.0,780,197,44,13,28,3,0,29.545454545454547,31.70731707317073,40.0,-8.292682926829269,-290.1899377888295,264.0,278.8636363636364,49.654714478275274,-35.69002258492961,-36.0,54.0
MRVL,dip5_2d,5.0,780,1.5,45,6.0,3.5,1170,190,35,14,21,0,0,40.0,40.0,43.15789473684211,-3.1578947368421098,-105.0,210.0,343.85714285714283,54.0,-41.0,-41.0,54.0
MRVL,dip6_1d,6.0,390,1.5,30,6.0,3.0,780,171,40,13,24,3,0,32.5,35.13513513513514,40.0,-4.864864864864863,-146.18993778882952,240.0,261.5,49.654714478275274,-35.64042619851834,-36.0,54.0
MRVL,dip6_2d,6.0,780,2.0,60,7.0,3.5,1170,131,30,11,18,1,0,36.666666666666664,37.93103448275862,39.04761904761905,-1.1165845648604318,14.748956814336445,180.0,368.5,62.729079734528035,-41.0,-41.0,64.0
MRVL,dip7_2d,7.0,780,2.0,45,7.0,4.0,1170,160,28,11,17,0,0,39.285714285714285,39.285714285714285,41.81818181818181,-2.5324675324675283,-78.0,168.0,372.14285714285717,64.0,-46.0,-46.0,64.0
MRVL,dip8_2d,8.0,780,2.0,60,8.0,4.0,1170,105,21,8,12,1,0,38.095238095238095,40.0,38.33333333333333,1.6666666666666714,88.74895681433645,126.0,474.04761904761904,71.19432853492627,-46.0,-46.0,74.0
MRVL,dip8_3d,8.0,1170,2.5,90,8.0,4.0,1560,84,22,10,12,0,0,45.45454545454545,45.45454545454545,38.33333333333333,7.121212121212125,188.0,132.0,422.72727272727275,74.0,-46.0,-46.0,74.0
MRVL,dip4_2d,4.0,780,1.2,45,5.0,3.0,1170,220,50,20,29,1,0,40.0,40.816326530612244,44.99999999999999,-4.183673469387749,-139.08787174369337,300.0,251.9,43.09105372649079,-36.0,-36.0,44.00000000000001
MRVL,dip10_3d,10.0,1170,2.5,60,10.0,5.0,1950,103,17,8,9,0,0,47.05882352941177,47.05882352941177,37.333333333333336,9.725490196078432,248.0,102.00000000000001,671.4705882352941,94.0,-56.0,-56.0,94.0
AMD,dip4_1d,4.0,390,1.2,30,5.0,3.0,780,159,27,9,16,2,0,33.333333333333336,36.0,44.99999999999999,-8.999999999999993,-170.33851482234888,162.0,396.85185185185185,40.895776120208225,-34.076251530848886,-36.0,44.00000000000001
AMD,dip5_1d,5.0,390,1.5,30,6.0,3.0,780,127,19,7,12,0,0,36.8421052631579,36.8421052631579,40.0,-3.1578947368421026,-54.0,114.0,339.7368421052632,54.0,-36.0,-36.0,54.0
AMD,dip5_2d,5.0,780,1.5,45,6.0,3.5,1170,129,20,8,9,3,0,40.0,47.05882352941177,43.15789473684211,3.9009287925696583,47.726810912454646,120.0,519.75,50.798291852628296,-37.22343779647272,-41.0,54.0
AMD,dip6_1d,6.0,390,1.5,30,6.0,3.0,780,103,18,6,12,0,0,33.333333333333336,33.333333333333336,40.0,-6.666666666666664,-108.0,108.0,332.5,54.0,-36.0,-36.0,54.0
