symbol,combo,step_pct,levels,stop_pct,notional,buy_fills,sell_fills,round_trips,fees_usd,realized_usd,unrealized_usd,net_usd,max_inventory_lots,max_drawdown_usd,ending_cash,ending_inventory_qty,ending_mark,stopped
INTC,grid_0.8pct_8lvl,0.8,8,,1000.0,34,26,26,22.578000000000003,26.000000000000227,-199.52219340087834,-196.1001934008781,8,396.803047301118,3.4220000000003665,7.391699923542651,108.62000274658203,False
INTC,grid_1.0pct_8lvl,1.0,8,,1000.0,41,33,33,27.873750000000005,41.25000000000024,-192.1419736661889,-178.76572366618868,8,390.2284656792068,13.376250000000823,7.459849682597685,108.62000274658203,False
INTC,grid_1.5pct_8lvl,1.5,8,,1000.0,40,32,32,27.179999999999982,59.99999999999936,-173.2473221783991,-140.42732217839972,8,371.7196429866776,32.81999999999971,7.634324968241182,108.62000274658203,False
INTC,grid_2.0pct_6lvl,2.0,6,,1000.0,22,16,16,19.16,53.3333333333332,-171.01728412254823,-136.84395078921503,6,369.78122747022826,34.173333333333744,7.654917384409422,108.62000274658203,False
INTC,grid_1.0pct_10lvl,1.0,10,,1000.0,67,57,57,37.37100000000001,57.000000000000284,-183.85816120023108,-164.2291612002308,10,382.08477170846675,19.629000000000616,7.53634331610816,108.62000274658203,False
INTC,grid_1.5pct_10lvl_stop10,1.5,10,10.0,1000.0,47,47,37,27.891342337162808,-102.8858876124041,0.0,-130.7772299495669,10,155.85122994956623,869.2227700504338,0,108.62000274658203,True
MU,grid_0.8pct_8lvl,0.8,8,,1000.0,45,37,37,30.861000000000004,37.00000000000003,-160.48239217339173,-154.3433921733917,8,387.90849970692193,6.138999999999726,0.8292933537301386,1015.375,False
MU,grid_1.0pct_8lvl,1.0,8,,1000.0,47,39,39,32.39625,48.74999999999996,-152.74223452526843,-136.38848452526847,8,379.29249487661696,16.353750000000502,0.836939246126642,1015.375,False
MU,grid_1.5pct_8lvl,1.5,8,,1000.0,36,28,28,24.157499999999988,52.499999999999716,-132.926079115365,-104.58357911536528,8,355.78401912608706,28.342499999999745,0.8565140660288239,1015.375,False
MU,grid_2.0pct_6lvl,2.0,6,,1000.0,20,14,14,17.139999999999997,46.666666666666714,-130.58728071448974,-101.06061404782302,6,355.8344402522172,29.52666666666738,0.858824380847094,1015.375,False
MU,grid_1.0pct_10lvl,1.0,10,,1000.0,68,58,58,37.974000000000004,57.99999999999983,-144.05441536554514,-124.02841536554531,10,367.83735339902717,20.026000000000437,0.8455212587257821,1015.375,False
MU,grid_1.5pct_10lvl_stop10,1.5,10,10.0,1000.0,42,42,32,24.87953259992713,-106.82246669096352,0.0,-131.70199929089065,10,146.82530016881583,868.29800070911,0,1015.375,True
MRVL,grid_0.8pct_8lvl,0.8,8,,1000.0,79,71,71,56.46300000000001,71.00000000000078,-117.93917454193937,-103.40217454193859,8,408.42973689026405,14.537000000000887,3.624098754976908,244.1199951171875,False
MRVL,grid_1.0pct_8lvl,1.0,8,,1000.0,69,61,61,48.978749999999934,76.25000000000041,-109.80677829362948,-82.535528293629,8,400.2392254894414,27.271250000001373,3.657512105017903,244.1199951171875,False
MRVL,grid_1.5pct_8lvl,1.5,8,,1000.0,42,34,34,28.69124999999998,63.74999999999969,-88.98642356216007,-53.927673562160365,8,384.4949771208911,35.05874999999969,3.7430561168169887,244.1199951171875,False
MRVL,grid_2.0pct_6lvl,2.0,6,,1000.0,25,19,19,22.190000000000005,63.33333333333323,-86.52910470568398,-45.38577137235075,6,383.66102257422233,41.143333333334,3.753152434385237,244.1199951171875,False
MRVL,grid_1.0pct_10lvl,1.0,10,,1000.0,75,65,65,42.194999999999965,65.00000000000048,-100.67869703837769,-77.87369703837717,10,394.9463113311722,22.805000000000973,3.6950163983247806,244.1199951171875,False
MRVL,grid_1.5pct_10lvl_stop10,1.5,10,10.0,1000.0,48,48,38,28.485028616338845,-104.9904612203929,0.0,-133.47548983673175,10,157.60228162384112,866.5245101632692,0,244.1199951171875,True
AMD,grid_0.8pct_8lvl,0.8,8,,1000.0,221,221,221,166.4129999999993,221.0000000000004,0.0,54.5870000000011,8,194.83029631123304,1054.5869999999993,0,559.7999877929688,False
AMD,grid_1.0pct_8lvl,1.0,8,,1000.0,188,188,188,141.7049999999995,234.99999999999972,0.0,93.29500000000021,8,186.240834014171,1093.295000000002,0,559.7999877929688,False
AMD,grid_1.5pct_8lvl,1.5,8,,1000.0,127,127,127,95.96437499999982,238.12499999999858,0.0,142.16062499999876,8,168.08578144600165,1142.1606249999988,0,559.7999877929688,False
AMD,grid_2.0pct_6lvl,2.0,6,,1000.0,67,67,67,67.66999999999999,223.33333333333442,0.0,155.66333333333444,6,166.62225947072602,1155.6633333333361,0,559.7999877929688,False
AMD,grid_1.0pct_10lvl,1.0,10,,1000.0,211,211,211,127.23299999999918,210.99999999999926,0.0,83.76700000000008,10,178.51178276792598,1083.767000000003,0,559.7999877929688,False
AMD,grid_1.5pct_10lvl_stop10,1.5,10,10.0,1000.0,146,146,146,88.25699999999983,218.99999999999955,0.0,130.7429999999997,10,155.55452664617712,1130.743000000005,0,559.7999877929688,False
SNDK,grid_0.8pct_8lvl,0.8,8,,1000.0,84,76,76,60.22800000000001,76.0000000000003,-182.0158527207819,-166.2438527207816,8,542.7698582777635,15.771999999999707,0.45813188983737885,1790.8499755859375,False
SNDK,grid_1.0pct_8lvl,1.0,8,,1000.0,67,59,59,47.47124999999994,73.74999999999982,-174.4742285849906,-148.19547858499072,8,536.5416431049805,26.278750000001082,0.46235575961439773,1790.8499755859375,False
SNDK,grid_1.5pct_8lvl,1.5,8,,1000.0,48,40,40,33.22499999999997,74.99999999999962,-155.16635364084752,-113.39135364084788,8,520.9470211784525,41.774999999999636,0.47316960394906626,1790.8499755859375,False
SNDK,grid_2.0pct_6lvl,2.0,6,,1000.0,26,20,20,23.200000000000003,66.66666666666677,-152.88754495623792,-109.42087828957115,6,517.0877902052603,43.46666666666769,0.47444590610324683,1790.8499755859375,False
SNDK,grid_1.0pct_10lvl,1.0,10,,1000.0,78,68,68,44.00399999999995,68.0,-166.00925026788298,-142.01325026788294,10,530.984912453639,23.996000000001388,0.4670967763281669,1790.8499755859375,False
SNDK,grid_1.5pct_10lvl_stop10,1.5,10,10.0,1000.0,55,55,45,32.74548777005943,-84.8374099802075,0.0,-117.58289775026692,10,151.61189775026662,882.4171022497352,0,1790.8499755859375,True
HPE,grid_0.8pct_8lvl,0.8,8,,1000.0,122,122,122,91.86600000000001,122.00000000000017,0.0,30.134000000000157,8,99.624335930435,1030.1339999999989,0,60.72999954223633,False
HPE,grid_1.0pct_8lvl,1.0,8,,1000.0,114,114,114,85.92749999999975,142.5000000000005,0.0,56.57250000000076,8,84.11857329805241,1056.5725000000014,0,60.72999954223633,False
HPE,grid_1.5pct_8lvl,1.5,8,,1000.0,49,49,49,37.025624999999984,91.87499999999918,0.0,54.84937499999919,8,66.08785653263828,1054.8493749999996,0,60.72999954223633,False
HPE,grid_2.0pct_6lvl,2.0,6,,1000.0,27,27,27,27.270000000000017,89.99999999999983,0.0,62.72999999999981,6,62.090364957917814,1062.730000000001,0,60.72999954223633,False
HPE,grid_1.0pct_10lvl,1.0,10,,1000.0,121,121,121,72.96299999999968,120.9999999999996,0.0,48.03699999999992,10,75.63706994130757,1048.0370000000019,0,60.72999954223633,False
HPE,grid_1.5pct_10lvl_stop10,1.5,10,10.0,1000.0,50,50,50,30.225000000000026,74.99999999999918,0.0,44.77499999999915,9,53.68519469933972,1044.775000000002,0,60.72999954223633,False
DELL,grid_0.8pct_8lvl,0.8,8,,1000.0,133,133,133,100.14900000000002,132.99999999999955,0.0,32.85099999999953,8,56.41394151163445,1032.8509999999965,0,568.530029296875,False
DELL,grid_1.0pct_8lvl,1.0,8,,1000.0,95,95,95,71.60624999999982,118.75000000000018,0.0,47.14375000000037,8,46.94802399268747,1047.1437500000015,0,568.530029296875,False
DELL,grid_1.5pct_8lvl,1.5,8,,1000.0,38,38,38,28.713749999999976,71.24999999999959,0.0,42.53624999999961,6,30.021137920351066,1042.5362499999997,0,568.530029296875,False
DELL,grid_2.0pct_6lvl,2.0,6,,1000.0,24,24,24,24.240000000000016,80.0,0.0,55.759999999999984,4,26.93775102721986,1055.7600000000014,0,568.530029296875,False
DELL,grid_1.0pct_10lvl,1.0,10,,1000.0,99,99,99,59.696999999999804,98.9999999999995,0.0,39.3029999999997,10,36.76441919414981,1039.3030000000024,0,568.530029296875,False
DELL,grid_1.5pct_10lvl_stop10,1.5,10,10.0,1000.0,38,38,38,22.97100000000002,56.99999999999952,0.0,34.0289999999995,6,24.01691033628049,1034.0290000000018,0,568.530029296875,False
ARM,grid_0.8pct_8lvl,0.8,8,,1000.0,57,49,49,39.897000000000006,48.99999999999996,-223.63254713361601,-214.52954713361606,8,369.68545334102316,9.102999999999554,2.8239476466257667,275.75,False
ARM,grid_1.0pct_8lvl,1.0,8,,1000.0,50,42,42,34.6575,52.50000000000013,-216.4746192688094,-198.63211926880925,8,360.4404393268384,17.84250000000111,2.8499837890141526,275.75,False
ARM,grid_1.5pct_8lvl,1.5,8,,1000.0,42,34,34,28.691249999999982,63.749999999999474,-198.14907379154462,-163.09032379154513,8,343.4535888545488,35.05874999999969,2.916640860781639,275.75,False
ARM,grid_2.0pct_6lvl,2.0,6,,1000.0,23,17,17,20.17,56.66666666666674,-195.98620437662393,-159.48953770995718,6,342.89134918203604,36.49666666666741,2.9245080504373537,275.75,False
