symbol,group,take_profit_pct,stop_loss_pct,trades,wins,losses,timeouts,both_hit,win_rate_pct,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
BTCUSDT,major,0.5,0.08,533,46,409,78,0,8.630393996247655,-1044.4491401066737,1066.0,17.913696060037523,2.2994632692645465,-2.614093143342976,-2.8,3.0
BTCUSDT,major,0.5,0.15,357,50,218,89,0,14.005602240896359,-706.2586266103829,714.0,27.238095238095237,2.3717090329596564,-3.058216671155659,-3.5,3.0
BTCUSDT,major,0.5,0.25,277,43,126,108,0,15.52346570397112,-578.2184674038332,554.0,35.39350180505415,2.2541427723097205,-3.3919418067213867,-4.500000000000001,3.0
BTCUSDT,major,0.5,0.35,240,41,72,127,0,17.083333333333332,-491.0381067777017,480.0,41.00416666666667,2.2726990072260627,-3.517724839209451,-5.5,3.0
BTCUSDT,major,0.5,0.5,218,39,44,135,0,17.889908256880734,-471.09041074705857,436.0,45.24311926605505,2.440176596794678,-3.6389076992556157,-7.0,3.0
BTCUSDT,major,0.3,0.15,458,121,276,61,1,26.419213973799128,-946.2331296892859,916.0,21.010917030567686,0.9875302513025382,-3.187162240595516,-3.5,1.0
BTCUSDT,major,0.3,0.3,300,88,104,108,1,29.333333333333332,-657.8587909045172,600.0,32.60333333333333,0.9359174689972285,-3.6652297447463287,-5.0,1.0
BTCUSDT,major,0.4,0.2,344,75,174,95,0,21.802325581395348,-693.7218223392489,688.0,28.305232558139537,1.8425001751843104,-3.3030109976941846,-4.0,2.0
BTCUSDT,major,0.4,0.35,260,63,83,114,0,24.23076923076923,-550.1565118378766,520.0,37.77307692307692,1.757565320545224,-3.74584175693912,-5.5,2.0
BTCUSDT,major,0.25,0.12,573,152,372,49,5,26.527050610820243,-1196.523961325619,1146.0000000000002,16.593368237347295,0.5,-3.022622235927838,-3.1999999999999997,0.5
BTCUSDT,major,0.2,0.1,750,220,490,40,6,29.333333333333332,-1533.1128908256583,1500.0,12.441333333333333,0.0,-2.0441505211008777,-3.0,0.0
BTCUSDT,major,0.6,0.25,275,37,126,112,0,13.454545454545455,-555.4800766297918,550.0,35.658181818181816,2.881261155022816,-3.358678170259899,-4.500000000000001,4.0
BTCUSDT,major,0.8,0.3,233,18,86,129,0,7.725321888412017,-491.99842185741096,466.0,42.26609442060086,2.9582802984593557,-3.4270047361268112,-5.0,6.0
BTCUSDT,major,0.8,0.4,205,15,54,136,0,7.317073170731708,-452.83194646080864,410.00000000000006,48.17560975609756,2.8806268520272087,-3.5598697598640663,-6.0,6.0
BTCUSDT,major,1.0,0.4,207,11,55,141,0,5.314009661835748,-446.34386014705626,414.00000000000006,47.70048309178744,3.596871360201358,-3.534243799731201,-6.0,8.0
BTCUSDT,major,1.0,0.5,192,10,35,147,0,5.208333333333333,-404.13312730622243,384.0,51.505208333333336,3.377887605256062,-3.413644959359333,-7.0,8.0
ETHUSDT,major,0.5,0.08,820,83,684,53,2,10.121951219512194,-1689.445924342413,1640.0000000000002,11.29390243902439,2.5916193608130347,-2.73599767858515,-2.8,3.0
ETHUSDT,major,0.5,0.15,525,86,367,72,3,16.38095238095238,-1073.356150024746,1050.0,18.20190476190476,2.542880199631076,-3.2744344255647224,-3.5,3.0
ETHUSDT,major,0.5,0.25,390,90,214,86,1,23.076923076923077,-789.5101905210856,780.0,24.848717948717947,2.619558410722385,-3.895326375978392,-4.500000000000001,3.0
ETHUSDT,major,0.5,0.35,322,84,142,96,1,26.08695652173913,-700.0695333804144,644.0,30.30745341614907,2.643448528684671,-4.344208947067033,-5.5,3.0
ETHUSDT,major,0.5,0.5,271,73,83,115,1,26.937269372693727,-598.8359907502166,542.0,36.199261992619924,2.647236075375797,-4.665191520052301,-7.0,3.0
ETHUSDT,major,0.3,0.15,684,207,435,42,4,30.263157894736842,-1387.702426602455,1368.0,13.738304093567251,1.0,-3.343191670026111,-3.5,1.0
ETHUSDT,major,0.3,0.3,447,183,200,64,3,40.939597315436245,-953.3708866456244,894.0,21.552572706935123,1.0,-4.304435176687972,-5.0,1.0
ETHUSDT,major,0.4,0.2,500,135,301,64,2,27.0,-1029.8237469016628,1000.0,19.162,1.9331405368270504,-3.6433790590254302,-4.0,2.0
ETHUSDT,major,0.4,0.35,355,120,148,87,1,33.80281690140845,-740.7653503905811,710.0,27.39718309859155,1.922346994146118,-4.347250068904335,-5.5,2.0
ETHUSDT,major,0.25,0.12,919,269,625,25,10,29.27094668117519,-1901.0261424516423,1838.0,9.969532100108815,0.5,-3.131578680694835,-3.1999999999999997,0.5
ETHUSDT,major,0.2,0.1,1152,363,772,17,21,31.510416666666668,-2343.257311328684,2304.0000000000005,7.750868055555555,0.0,-2.034077527195038,-3.0,0.0
ETHUSDT,major,0.6,0.25,350,62,195,93,0,17.714285714285715,-725.7307047815254,700.0000000000001,27.802857142857142,3.1007619083669358,-3.891505939934041,-4.500000000000001,4.0
ETHUSDT,major,0.8,0.3,281,38,136,107,0,13.523131672597865,-527.5725691808348,562.0,34.87544483985765,4.096196109076026,-3.897154728215393,-5.0,6.0
ETHUSDT,major,0.8,0.4,256,34,100,122,0,13.28125,-529.1840295249069,512.0,38.37890625,3.737303246642278,-4.382552822567175,-6.0,6.0
ETHUSDT,major,1.0,0.4,245,27,95,123,0,11.020408163265307,-458.5414212403565,490.0,40.14693877551021,4.536431429869919,-4.283608578885623,-6.0,8.0
ETHUSDT,major,1.0,0.5,222,24,68,130,0,10.81081081081081,-449.142903207731,444.0,44.409909909909906,4.29345077545543,-4.416418636711256,-7.0,8.0
BNBUSDT,major,0.5,0.08,573,60,453,60,0,10.471204188481675,-1101.1037122320583,1146.0000000000002,16.593368237347295,2.3599907837142555,-2.6777472682371317,-2.8,3.0
BNBUSDT,major,0.5,0.15,381,58,244,79,0,15.223097112860893,-730.07570438228,762.0,25.459317585301836,2.3344234516607965,-3.100110237819215,-3.5,3.0
BNBUSDT,major,0.5,0.25,285,56,135,94,0,19.649122807017545,-554.9031632021229,570.0000000000001,34.371929824561406,2.383169498666982,-3.578697507720518,-4.500000000000001,3.0
BNBUSDT,major,0.5,0.35,248,51,84,113,0,20.56451612903226,-492.56493648726774,496.0,39.649193548387096,2.3690846846862463,-3.7331635542372386,-5.5,3.0
BNBUSDT,major,0.5,0.5,218,47,43,128,0,21.559633027522935,-418.61337631815803,436.0,45.24311926605505,2.4687448895294626,-3.744240579532751,-7.0,3.0
BNBUSDT,major,0.3,0.15,500,147,302,51,2,29.4,-972.0510294665588,1000.0,19.162,0.9865176537829506,-3.2000819358114327,-3.5,1.0
BNBUSDT,major,0.3,0.3,327,120,126,81,0,36.69724770642202,-664.1375736641422,654.0,29.828746177370032,0.9625674033948001,-3.9319181694764085,-5.0,1.0
BNBUSDT,major,0.4,0.2,356,82,194,80,1,23.03370786516854,-724.5078341263392,712.0,27.31741573033708,1.8479759453091962,-3.36857979301689,-4.0,2.0
BNBUSDT,major,0.4,0.35,270,74,99,97,0,27.40740740740741,-545.9274990245244,540.0,36.337037037037035,1.753839146032782,-3.9098501231526375,-5.5,2.0
BNBUSDT,major,0.25,0.12,653,203,414,36,2,31.08728943338438,-1273.8132355551506,1306.0,14.437978560490047,0.5,-3.056251634567002,-3.1999999999999997,0.5
BNBUSDT,major,0.2,0.1,845,280,543,22,1,33.13609467455621,-1662.9242891621338,1690.0,10.930177514792899,0.0,-1.9679577386534128,-3.0,0.0
BNBUSDT,major,0.6,0.25,265,35,122,108,0,13.20754716981132,-506.3283422977734,530.0,37.04150943396226,2.7102710736018807,-3.4432474027914455,-4.500000000000001,4.0
BNBUSDT,major,0.8,0.3,231,20,92,119,0,8.658008658008658,-446.485505147168,462.0,42.64069264069264,3.244842135955063,-3.550862628549412,-5.0,6.0
BNBUSDT,major,0.8,0.4,212,15,63,134,0,7.0754716981132075,-433.93541394845124,424.0,46.551886792452834,2.6286310354770994,-3.849834281317648,-6.0,6.0
BNBUSDT,major,1.0,0.4,209,10,61,138,0,4.784688995215311,-434.9700092037806,418.0,47.23444976076555,3.0480929126909313,-3.7368528338672022,-6.0,8.0
BNBUSDT,major,1.0,0.5,191,9,40,142,0,4.712041884816754,-397.87897667104096,382.0,51.78010471204188,3.4898998986702727,-3.606432483443483,-7.0,8.0
XRPUSDT,large_alt,0.5,0.08,1228,159,1036,33,3,12.947882736156352,-2429.597511133247,2456.0,7.20928338762215,2.790256301276995,-2.776314277716759,-2.8,3.0
XRPUSDT,large_alt,0.5,0.15,858,179,638,41,3,20.86247086247086,-1734.460198672167,1716.0,10.749417249417249,2.852601266203916,-3.417251934808268,-3.5,3.0
XRPUSDT,large_alt,0.5,0.25,612,168,389,55,4,27.45098039215686,-1306.8673421075623,1224.0,15.472222222222221,2.8265137463828522,-4.268565120191605,-4.500000000000001,3.0
XRPUSDT,large_alt,0.5,0.35,484,159,258,67,3,32.85123966942149,-1037.4366390960558,968.0,19.828512396694215,2.850869337126768,-4.896750529108525,-5.5,3.0
XRPUSDT,large_alt,0.5,0.5,379,145,155,79,2,38.25857519788918,-797.0237284223721,758.0,25.598944591029024,2.827137571931468,-5.627653686821468,-7.0,3.0
XRPUSDT,large_alt,0.3,0.15,1152,369,757,26,13,32.03125,-2315.2184562096013,2304.0000000000005,7.750868055555555,0.9931905949234086,-3.441904304514243,-3.5,1.0
XRPUSDT,large_alt,0.3,0.3,751,345,368,38,5,45.938748335552596,-1569.162084647818,1502.0,12.423435419440745,0.9954869438272821,-4.7390991439502095,-5.0,1.0
XRPUSDT,large_alt,0.4,0.2,803,244,523,36,4,30.386052303860524,-1640.1970812611069,1606.0,11.55417185554172,1.9313057411927597,-3.8917519074183593,-4.0,2.0
XRPUSDT,large_alt,0.4,0.35,551,221,279,51,5,40.10889292196007,-1160.7456529572517,1102.0,17.295825771324864,1.937093692102542,-5.025669674477934,-5.5,2.0
XRPUSDT,large_alt,0.25,0.12,1471,455,999,17,23,30.931339225016995,-2994.2383143887714,2942.0,5.853161114887832,0.49934471193391766,-3.1743246335277115,-3.1999999999999997,0.5
XRPUSDT,large_alt,0.2,0.1,1830,579,1241,10,49,31.639344262295083,-3736.96880998154,3660.0,4.508743169398907,0.0,-2.042059459006306,-3.0,0.0
XRPUSDT,large_alt,0.6,0.25,554,130,364,60,2,23.465703971119133,-1179.6925775220352,1108.0,17.196750902527075,3.6119731904016015,-4.241670575041664,-4.500000000000001,4.0
XRPUSDT,large_alt,0.8,0.3,396,71,240,85,1,17.92929292929293,-804.5993233995782,792.0,24.457070707070706,4.577357408318439,-4.478811647369034,-5.0,6.0
XRPUSDT,large_alt,0.8,0.4,344,69,174,101,1,20.058139534883722,-711.5639015768032,688.0,28.305232558139537,4.797821401674635,-4.843053960582009,-6.0,6.0
XRPUSDT,large_alt,1.0,0.4,321,47,167,107,0,14.641744548286605,-694.911491315105,642.0,30.404984423676012,5.756265839951214,-4.750646663930788,-6.0,8.0
XRPUSDT,large_alt,1.0,0.5,285,48,128,109,0,16.842105263157894,-605.3909421161003,570.0000000000001,34.371929824561406,5.6999760576254195,-5.284674772617659,-7.0,8.0
SOLUSDT,large_alt,0.5,0.08,945,119,790,36,1,12.592592592592593,-1870.216450776931,1890.0000000000002,9.667724867724868,2.774422320728535,-2.757653472209162,-2.8,3.0
SOLUSDT,large_alt,0.5,0.15,591,119,428,44,1,20.135363790186126,-1165.8968435181012,1182.0,16.057529610829103,2.7239371607251703,-3.3765984557730198,-3.5,3.0
SOLUSDT,large_alt,0.5,0.25,431,111,257,63,1,25.754060324825986,-903.7224592770756,862.0,22.389791183294662,2.731266287132931,-4.113793676786045,-4.500000000000001,3.0
SOLUSDT,large_alt,0.5,0.35,342,102,165,75,0,29.82456140350877,-706.3875168424858,684.0,28.476608187134502,2.6789337866915024,-4.597222589501231,-5.5,3.0
SOLUSDT,large_alt,0.5,0.5,277,90,87,100,0,32.49097472924188,-571.237095725265,554.0,35.39350180505415,2.6323660673165246,-5.017060381930195,-7.0,3.0
SOLUSDT,large_alt,0.3,0.15,853,272,560,21,5,31.887456037514653,-1713.496201576742,1706.0,10.818288393903869,0.9915438738758989,-3.4362816036204396,-3.5,1.0
SOLUSDT,large_alt,0.3,0.3,509,225,242,42,3,44.20432220039293,-1073.8786427739199,1018.0,18.80550098231827,1.0,-4.573516347795493,-5.0,1.0
SOLUSDT,large_alt,0.4,0.2,559,166,346,47,2,29.695885509838998,-1101.9931042222947,1118.0,17.033989266547405,1.9178931507740011,-3.78839392404217,-4.0,2.0
SOLUSDT,large_alt,0.4,0.35,375,135,177,63,2,36.0,-814.1967727150728,750.0,25.882666666666665,1.932369205044226,-4.700541245846541,-5.5,2.0
SOLUSDT,large_alt,0.25,0.12,1102,349,736,17,5,31.669691470054445,-2203.565711234581,2204.0,8.147912885662432,0.4985914988172887,-3.162330765718912,-3.1999999999999997,0.5
SOLUSDT,large_alt,0.2,0.1,1425,485,930,10,13,34.03508771929825,-2804.201681298096,2850.0,6.074385964912281,0.0,-1.96786082898112,-3.0,0.0
SOLUSDT,large_alt,0.6,0.25,383,79,232,72,0,20.626631853785902,-778.5538303973439,766.0,25.321148825065276,3.389738231377762,-4.054073858281831,-4.500000000000001,4.0
SOLUSDT,large_alt,0.8,0.3,315,48,174,93,0,15.238095238095237,-617.9446454108223,630.0,31.003174603174603,4.027008981657327,-4.246905380767586,-5.0,6.0
SOLUSDT,large_alt,0.8,0.4,261,39,110,112,0,14.942528735632184,-508.2952141018828,522.0,37.62452107279694,4.114379934397166,-4.531239611939133,-6.0,6.0
SOLUSDT,large_alt,1.0,0.4,242,22,102,118,0,9.090909090909092,-489.19593165447276,484.0,40.65702479338843,4.5003079118512685,-4.4164742707616105,-6.0,8.0
SOLUSDT,large_alt,1.0,0.5,226,21,76,129,0,9.29203539823009,-475.76481036241654,452.0,43.60619469026549,4.26096257158432,-4.675325326182595,-7.0,8.0
ADAUSDT,large_alt,0.5,0.08,1445,192,1237,16,6,13.28719723183391,-2881.773515242728,2890.0,5.976470588235294,2.947921896729041,-2.7882392727619005,-2.8,3.0
ADAUSDT,large_alt,0.5,0.15,917,198,693,26,5,21.59214830970556,-1846.5422349819385,1834.0,9.993456924754634,2.917028437273825,-3.4422645472016122,-3.5,3.0
ADAUSDT,large_alt,0.5,0.25,671,198,436,37,2,29.508196721311474,-1397.8410633026522,1342.0,14.023845007451564,2.942261053168179,-4.3095630973232195,-4.500000000000001,3.0
ADAUSDT,large_alt,0.5,0.35,506,173,287,46,2,34.1897233201581,-1114.3447273384525,1012.0,18.92292490118577,2.9026949720238475,-5.119380752145466,-5.5,3.0
ADAUSDT,large_alt,0.5,0.5,403,160,179,64,1,39.702233250620345,-875.9703218665787,806.0,24.01488833746898,2.8561821549070734,-6.034220170944372,-7.0,3.0
ADAUSDT,large_alt,0.3,0.15,1334,437,885,12,12,32.758620689655174,-2674.3293246737994,2668.0,6.556971514242878,1.0,-3.4685945648537344,-3.5,1.0
ADAUSDT,large_alt,0.3,0.3,833,398,413,22,4,47.77911164465786,-1713.8633771403731,1666.0,11.10204081632653,1.0,-4.854858338253732,-5.0,1.0
ADAUSDT,large_alt,0.4,0.2,893,275,596,22,4,30.795072788353863,-1859.0985272955104,1786.0,10.288913773796192,1.9828630389850805,-3.9192430115989643,-4.0,2.0
ADAUSDT,large_alt,0.4,0.35,597,249,314,34,2,41.70854271356784,-1293.9506843090712,1194.0,15.88609715242881,1.985710481818794,-5.1802428186288685,-5.5,2.0
ADAUSDT,large_alt,0.25,0.12,1706,549,1153,4,21,32.18053927315358,-3421.6345861029104,3412.0,4.909144196951934,0.5,-3.19458477623414,-3.1999999999999997,0.5
ADAUSDT,large_alt,0.2,0.1,2073,705,1366,2,36,34.00868306801737,-4101.015818056774,4146.0,3.8630004823926676,0.0,-1.9782999604711886,-3.0,0.0
ADAUSDT,large_alt,0.6,0.25,591,147,398,46,0,24.873096446700508,-1234.1614707973108,1182.0,16.057529610829103,3.7648184717370046,-4.279761034295276,-4.500000000000001,4.0
ADAUSDT,large_alt,0.8,0.3,446,92,293,61,0,20.62780269058296,-933.3720804860284,892.0,21.603139013452914,5.3213345893023805,-4.608657324556148,-5.0,6.0
ADAUSDT,large_alt,0.8,0.4,364,80,207,77,0,21.978021978021978,-783.463574884739,728.0,26.695054945054945,4.913832404336214,-5.292907953057123,-6.0,6.0
ADAUSDT,large_alt,1.0,0.4,337,54,196,87,0,16.023738872403563,-711.3044350434028,674.0,28.91394658753709,5.824103239000003,-5.22559604441489,-6.0,8.0
ADAUSDT,large_alt,1.0,0.5,290,53,143,94,0,18.275862068965516,-603.0576864944364,580.0,33.762068965517244,5.526331716562291,-5.727208509445367,-7.0,8.0
AVAXUSDT,large_alt,0.5,0.08,1071,146,894,31,3,13.632119514472455,-2071.3220119363377,2142.0,8.412698412698413,2.851795826407208,-2.762218786975587,-2.8,3.0
AVAXUSDT,large_alt,0.5,0.15,725,152,529,44,2,20.96551724137931,-1412.720865192376,1450.0,12.904827586206897,2.811096151490576,-3.384174180687241,-3.5,3.0
AVAXUSDT,large_alt,0.5,0.25,510,139,316,55,1,27.254901960784313,-1054.1969858053608,1020.0,18.766666666666666,2.7793161941510736,-4.222520193447816,-4.500000000000001,3.0
AVAXUSDT,large_alt,0.5,0.35,396,121,204,71,1,30.555555555555557,-841.2936086756633,792.0,24.457070707070706,2.724718927762314,-4.865329704923613,-5.5,3.0
AVAXUSDT,large_alt,0.5,0.5,333,113,134,86,0,33.933933933933936,-735.5826865280711,666.0,29.273273273273272,2.6663152044284875,-5.533006258211701,-7.0,3.0
AVAXUSDT,large_alt,0.3,0.15,963,304,637,22,6,31.568016614745588,-1956.8936171976932,1926.0,9.468328141225337,0.9980191711416058,-3.4366101282612203,-3.5,1.0
AVAXUSDT,large_alt,0.3,0.3,596,265,293,38,4,44.46308724832215,-1281.2260212845633,1192.0,15.914429530201343,0.9900770587685208,-4.715142295836972,-5.0,1.0
